SendRate(Mb/s),ReceiveRate(Mb/s),SendPackets,Send Loss,Recv Loss,RTT(ms),CWnd,OutstandingData,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
34.1471,0,2935,0,0,205.689,698,620,8191,0,335.371,0,0,89,0,39.5566,215863,0,261818,0
32.2069,0,2766,0,0,208.322,7504,596,8146,0,297.816,0,0,85,0,45.4039,215863,0,261818,0
41.6094,0,3573,0,0,205.988,9147,806,8147,0,218.162,0,0,92,0,3739,215863,0,261818,0
88.1006,0,7568,5802,0,208.263,3547,3547,8191,3917,98,0,0,23,127,1008.26,219780,0,267620,0
89.7706,0,7713,8900,0,212.39,13210,7202,8191,3717,178,0,0,8,56,364.116,223497,0,276520,0
50.7748,0,4363,0,0,212.39,13210,7202,8191,4363,227,0,0,0,56,364.116,227860,0,276520,0
43.0131,0,3694,0,0,212.39,13210,8191,8191,2705,227,0,0,0,0,364.116,230565,0,276520,0
47.0369,0,4042,8228,0,216.603,21286,1445,8148,2254,260,0,0,13,3,520.596,232819,0,284748,0
41.5286,0,3567,2926,0,211.046,13341,790,8191,758,269.326,0,0,16,5,228.965,233577,0,287674,0
43.8044,0,3762,1,0,206.379,1160,764,8152,1,296.451,0,0,93,1,37.4483,233578,0,287675,0
32.9046,0,2826,94,0,229.781,1036,922,7794,94,535,0,0,65,58,31.9621,233672,0,287769,0
15.2648,0,1312,21,0,210.323,1040,239,8174,21,935.281,0,0,45,11,37.9725,233693,0,287790,0
13.0189,0,1119,3,0,220.114,878,257,8182,3,999.991,0,0,62,2,45.9048,233696,0,287793,0
11.1787,0,960,1,0,204.791,938,210,8174,1,1058.13,0,0,61,1,32.0669,233697,0,287794,0
12.0282,0,1033,0,0,204.545,1344,239,8178,0,914.026,0,0,75,0,53.3711,233697,0,287794,0
17.5155,0,1504,0,0,205.188,10272,380,8179,0,557.395,0,0,82,0,45.2059,233697,0,287794,0
28.8867,0,2488,21,0,207.819,14237,1656,8191,21,386,0,0,51,17,351.187,233718,0,287815,0
31.7615,0,2728,2219,0,207.806,2798,633,8170,527,357.312,0,0,34,0,51.0299,234245,0,290034,0
35.252,0,3028,0,0,205.54,9430,684,8176,0,333.581,0,0,93,0,36.1437,234245,0,290034,0
36.6501,0,3148,0,0,206.404,15618,661,8155,0,328.676,0,0,94,0,58.4147,234245,0,290034,0
21.4288,0,1843,1442,0,224.661,1320,1320,8182,287,380,0,0,31,91,55.3513,234532,0,291476,0
23.2147,0,1994,32,0,236.116,15991,386,7830,599,479.08,0,0,20,20,35.3167,235131,0,291508,0
21.6155,0,1857,22,0,225.053,673,425,8179,22,593.778,0,0,50,15,29.982,235153,0,291530,0
12.8017,0,1100,22,0,236.264,496,483,8164,22,629.685,0,0,26,14,1911.06,235175,0,291552,0
15.3624,0,1320,2,0,227.577,471,394,8138,2,273.733,0,0,27,2,80.9536,235177,0,291554,0
121.535,0,10441,3494,0,208.611,14578,5692,8191,3351,71,0,0,46,85,4542.71,238528,0,295048,0
78.8391,0,6770,10680,0,208.611,14578,8191,8191,4271,115,0,0,0,66,4542.71,242799,0,305728,0
82.3689,0,7081,196,0,208.394,11306,8191,8191,6748,138,0,0,9,4,1383.6,249547,0,305924,0
58.9555,0,5063,8191,0,212.966,33927,7823,8191,5063,135.568,0,0,7,0,565.277,254610,0,314115,0
42.8184,0,3681,8375,0,212.966,33927,8191,8191,3313,195,0,0,0,12,565.277,257923,0,322490,0
61.6508,0,5295,0,0,214.161,36987,7189,8169,5295,179.591,0,0,11,0,2375.32,263218,0,322490,0
47.7829,0,4105,230,0,214.161,36987,8169,8169,3125,229,0,0,0,18,2375.32,266343,0,322720,0
40.9928,0,3521,8169,0,212.602,24893,4322,6938,3521,214.279,0,0,5,0,1235.55,269864,0,330889,0
55.5547,0,4777,159,0,210.255,26663,2852,8191,1860,241,0,0,7,19,1262.96,271724,0,331048,0
51.1535,0,4395,3270,0,207.539,28033,976,8090,846,225.48,0,0,47,0,98.4722,272570,0,334318,0
71.0194,0,6112,503,0,206.72,20064,2686,8167,503,112,0,0,60,18,182.943,273073,0,334821,0
72.3232,0,6211,1987,0,206.996,17650,6876,8191,1987,229,0,0,2,65,148.465,275060,0,336808,0
51.2371,0,4401,7853,0,207.802,10762,5369,8140,3424,219.067,0,0,35,0,61.3267,278484,0,344661,0
51.7146,0,4444,65,0,208.561,3292,1539,7642,2226,296,0,0,24,3,1582.7,280710,0,344726,0
69.4988,0,5972,1258,0,209.484,14926,2350,8053,1258,98.3188,0,0,53,41,1040.43,281968,0,345984,0
88.9352,0,7643,2651,0,209.484,14926,7342,8053,2651,179,0,0,0,91,1040.43,284619,0,348635,0
