SendRate(Mb/s),ReceiveRate(Mb/s),SendPackets,Send Loss,Recv Loss,RTT(ms),CWnd,OutstandingData,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0.814997,0,70,0,0,204.322,15,15,8189,0,0,0,0,35,0,154.639,13212,0,13212,0
0.826141,0,71,0,0,204.301,17,17,8189,0,0,0,0,38,0,66.9294,13212,0,13212,0
1.00959,0,87,0,0,206.105,20,20,8191,0,0,0,0,45,0,38.7645,13212,0,13212,0
1.18776,0,102,0,0,204.292,22,22,8189,0,0,0,0,54,0,30.8905,13212,0,13212,0
1.35888,0,117,0,0,205.012,25,25,8189,0,0,0,0,60,0,32.8823,13212,0,13212,0
1.46683,0,126,0,0,207.048,27,27,8191,0,0,0,0,66,0,33.0687,13212,0,13212,0
1.29252,0,111,4,0,211.523,29,29,8189,4,0,0,0,44,2,31.8573,13216,0,13216,0
1.63003,0,140,0,0,207.224,31,31,8171,0,0,0,0,72,0,31.4263,13216,0,13216,0
1.86297,0,160,0,0,206.694,34,34,8183,0,0,0,0,85,0,31.3331,13216,0,13216,0
2.02626,0,174,0,0,205.839,36,36,8189,0,0,0,0,89,0,28.1532,13216,0,13216,0
2.23579,0,192,0,0,204.949,63,63,8189,0,0,0,0,87,0,33.5928,13216,0,13216,0
6.19479,0,532,0,0,208.48,137,137,8189,0,0,0,0,234,0,34.1636,13216,0,13216,0
10.371,0,891,0,0,210.435,213,213,8189,0,0,0,0,413,0,30.774,13216,0,13216,0
14.7611,0,1268,0,0,208.277,289,289,8189,0,0,0,0,599,0,29.9703,13216,0,13216,0
19.5261,0,1677,0,0,211.063,367,367,8188,0,0,0,0,802,0,39.1489,13216,0,13216,0
13.9851,0,1201,17,0,211.336,400,400,8191,17,0,0,0,389,11,51.2861,13233,0,13233,0
14.2128,0,1221,20,0,211.749,415,415,8188,20,0,0,0,203,12,35.8875,13253,0,13253,0
18.054,0,1551,13,0,216.691,441,441,8188,13,0,0,0,343,10,50.8668,13266,0,13266,0
10.3625,0,890,18,0,213.142,455,455,8186,18,0,0,0,199,13,39.8595,13284,0,13284,0
5.33014,0,458,455,0,212.983,3,3,7736,455,0,0,0,1,0,38.3802,13739,0,13739,0
0.570054,0,49,0,0,208.242,21,21,8189,0,0,0,0,18,0,29.1084,13739,0,13739,0
3.40985,0,293,0,0,205.541,88,88,8189,0,0,0,0,117,0,1240.57,13739,0,13739,0
7.70515,0,663,0,0,204.756,163,163,8189,0,0,0,0,296,0,97.0045,13739,0,13739,0
11.6778,0,1003,0,0,207.008,238,238,8191,0,0,0,0,466,0,41.3737,13739,0,13739,0
15.9598,0,1371,0,0,207.093,313,313,8189,0,0,0,0,650,0,28.3862,13739,0,13739,0
19.1662,0,1646,0,0,205.129,385,385,8189,0,0,0,0,792,0,174.289,13739,0,13739,0
23.6502,0,2031,0,0,208.896,460,460,8189,0,0,0,0,981,0,113.615,13739,0,13739,0
29.2827,0,2515,0,0,210.292,538,538,8189,0,0,0,0,1222,0,1444.13,13739,0,13739,0
18.1655,0,1560,119,0,212.649,560,560,8176,119,0,0,0,375,19,787.638,13858,0,13858,0
14.0496,0,1207,100,0,207.807,581,581,8190,100,0,0,0,374,12,192.18,13958,0,13958,0
6.93933,0,596,581,0,207.799,15,15,7639,581,0,0,0,13,0,174.103,14539,0,14539,0
2.52666,0,217,0,0,205.097,72,70,8189,0,0,0,0,82,0,783.177,14539,0,14539,0
5.54147,0,476,0,0,209.036,136,136,8189,0,0,0,0,209,0,928.485,14539,0,14539,0
10.5177,0,904,0,0,208.741,212,212,8189,0,0,0,0,415,0,412.386,14539,0,14539,0
15.0205,0,1290,0,0,210.909,290,290,8189,0,0,0,0,609,0,370.034,14539,0,14539,0
18.8093,0,1617,0,0,207.256,365,365,8189,0,0,0,0,774,0,107.301,14539,0,14539,0
13.7244,0,1179,11,0,206.692,397,397,8190,11,0,0,0,384,7,36.4815,14550,0,14550,0
18.2628,0,1569,12,0,208.653,426,426,8189,12,0,0,0,369,7,32.8474,14562,0,14562,0
14.7231,0,1265,8,0,208.613,441,441,7763,8,0,0,0,196,6,29.551,14570,0,14570,0
13.6416,0,1172,38,0,211.787,464,464,8183,38,0,0,0,337,24,269.768,14608,0,14608,0
0,0,0,0,0,211.787,464,464,8183,0,0,0,0,0,0,269.768,14608,0,14608,0
5.71679,0,491,464,0,210.335,12,12,8189,464,0,0,0,10,0,217.387,15072,0,15072,0
1.99091,0,171,0,0,204.51,62,62,8189,0,0,0,0,64,0,385.025,15072,0,15072,0
